Livestock,Area,Year,Value,Flags
"Total dairy cattle","Manawatu-Wanganui","As at June 30 2012",475466,
"Total dairy cattle","Manawatu-Wanganui","As at June 30 2013",448030,
"Total dairy cattle","Manawatu-Wanganui","As at June 30 2014",481249,
"Total dairy cattle","Manawatu-Wanganui","As at June 30 2015",451421,
"Total dairy cattle","Manawatu-Wanganui","As at June 30 2016",524295,
"Total dairy cattle","Manawatu-Wanganui","As at June 30 2017",463057,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 1994",194615,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2002",245990,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2003",252538,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2004",233660,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2005",252620,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2006",243518,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2007",243274,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2008",245933,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2009",263944,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2010",287179,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2011",298715,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2012",287014,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2013",251174,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2014",279872,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2015",280112,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2016",297272,
"Calves born alive to dairy heifers/cows","Manawatu-Wanganui","As at June 30 2017",300688,
"Total sheep","Manawatu-Wanganui","As at June 30 1994",7458218,
"Total sheep","Manawatu-Wanganui","As at June 30 2002",6563838,
"Total sheep","Manawatu-Wanganui","As at June 30 2003",6516684,
"Total sheep","Manawatu-Wanganui","As at June 30 2004",6263729,
"Total sheep","Manawatu-Wanganui","As at June 30 2005",6738633,
"Total sheep","Manawatu-Wanganui","As at June 30 2006",6870265,
"Total sheep","Manawatu-Wanganui","As at June 30 2007",6746989,
"Total sheep","Manawatu-Wanganui","As at June 30 2008",5916784,
"Total sheep","Manawatu-Wanganui","As at June 30 2009",5767131,
"Total sheep","Manawatu-Wanganui","As at June 30 2010",5796023,
"Total sheep","Manawatu-Wanganui","As at June 30 2011",5730947,
"Total sheep","Manawatu-Wanganui","As at June 30 2012",5612743,
"Total sheep","Manawatu-Wanganui","As at June 30 2013",5469819,
"Total sheep","Manawatu-Wanganui","As at June 30 2014",5328843,
"Total sheep","Manawatu-Wanganui","As at June 30 2015",5518950,
"Total sheep","Manawatu-Wanganui","As at June 30 2016",5040174,
"Total sheep","Manawatu-Wanganui","As at June 30 2017",5061676,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 1994",5024335,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2002",5406482,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2003",5576460,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2004",4994294,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2005",5664524,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2006",5677919,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2007",5717867,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2008",5269682,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2009",4529921,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2010",4853370,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2011",4440053,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2012",4566563,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2013",4593887,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2014",4149610,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2015",4970912,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2016",4584415,
"Total lambs marked and/or tailed","Manawatu-Wanganui","As at June 30 2017",4536168,
"Total deer","Manawatu-Wanganui","As at June 30 1994",128676,
"Total deer","Manawatu-Wanganui","As at June 30 2002",147128,
"Total deer","Manawatu-Wanganui","As at June 30 2003",136232,
"Total deer","Manawatu-Wanganui","As at June 30 2004",139242,
"Total deer","Manawatu-Wanganui","As at June 30 2005",147638,
"Total deer","Manawatu-Wanganui","As at June 30 2006",117242,
"Total deer","Manawatu-Wanganui","As at June 30 2007",103908,
"Total deer","Manawatu-Wanganui","As at June 30 2008",84417,
"Total deer","Manawatu-Wanganui","As at June 30 2009",76299,
"Total deer","Manawatu-Wanganui","As at June 30 2010",75437,
"Total deer","Manawatu-Wanganui","As at June 30 2011",87969,
"Total deer","Manawatu-Wanganui","As at June 30 2012",74033,
"Total deer","Manawatu-Wanganui","As at June 30 2013",75840,
"Total deer","Manawatu-Wanganui","As at June 30 2014",74038,
"Total deer","Manawatu-Wanganui","As at June 30 2015",62298,
"Total deer","Manawatu-Wanganui","As at June 30 2016",47158,
"Total deer","Manawatu-Wanganui","As at June 30 2017",54965,
"Fawns weaned","Manawatu-Wanganui","As at June 30 1994",42160,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2002",58829,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2003",59307,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2004",53775,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2006",47443,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2007",38163,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2008",31363,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2009",27244,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2010",28696,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2011",33156,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2012",29351,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2013",28895,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2014",27568,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2015",27227,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2016",18654,
"Fawns weaned","Manawatu-Wanganui","As at June 30 2017",19834,
"Total pigs","Manawatu-Wanganui","As at June 30 1994",37628,
"Total pigs","Manawatu-Wanganui","As at June 30 2002",25587,
"Total pigs","Manawatu-Wanganui","As at June 30 2003",33200,
"Total pigs","Manawatu-Wanganui","As at June 30 2004",33422,
"Total pigs","Manawatu-Wanganui","As at June 30 2005",21762,
"Total pigs","Manawatu-Wanganui","As at June 30 2006",26309,
"Total pigs","Manawatu-Wanganui","As at June 30 2007",23358,
"Total pigs","Manawatu-Wanganui","As at June 30 2008",24480,
"Total pigs","Manawatu-Wanganui","As at June 30 2009",29566,
"Total pigs","Manawatu-Wanganui","As at June 30 2010",31735,
"Total pigs","Manawatu-Wanganui","As at June 30 2011",31804,
"Total pigs","Manawatu-Wanganui","As at June 30 2012",29039,
"Total pigs","Manawatu-Wanganui","As at June 30 2013",26105,
"Total pigs","Manawatu-Wanganui","As at June 30 2014",25329,
"Total pigs","Manawatu-Wanganui","As at June 30 2015",21186,
"Total pigs","Manawatu-Wanganui","As at June 30 2016",23011,
"Total pigs","Manawatu-Wanganui","As at June 30 2017",16915,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2003",68370,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2004",72037,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2005",44332,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2006",55135,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2007",50402,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2008",54440,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2009",61327,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2010",57210,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2011",68524,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2012",55114,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2013",47964,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2014",49209,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2015",49537,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2016",50400,
"Piglets weaned","Manawatu-Wanganui","As at June 30 2017",50799,
"Total horses","Manawatu-Wanganui","As at June 30 1994",7211,
"Total horses","Manawatu-Wanganui","As at June 30 2002",7958,
"Total horses","Manawatu-Wanganui","As at June 30 2003",7205,
"Total horses","Manawatu-Wanganui","As at June 30 2007",6080,
"Total horses","Manawatu-Wanganui","As at June 30 2008",5338,
"Total horses","Manawatu-Wanganui","As at June 30 2010",4675,
"Total horses","Manawatu-Wanganui","As at June 30 2011",4987,
"Total horses","Manawatu-Wanganui","As at June 30 2012",5264,
"Total horses","Manawatu-Wanganui","As at June 30 2013",5244,
"Total horses","Manawatu-Wanganui","As at June 30 2014",5956,
"Total horses","Manawatu-Wanganui","As at June 30 2015",3982,
"Total horses","Manawatu-Wanganui","As at June 30 2016",3984,
"Total horses","Manawatu-Wanganui","As at June 30 2017",3396,
"Total beef cattle","Wellington","As at June 30 1994",212679,
"Total beef cattle","Wellington","As at June 30 2002",181320,
"Total beef cattle","Wellington","As at June 30 2003",176290,
"Total beef cattle","Wellington","As at June 30 2004",174206,
"Total beef cattle","Wellington","As at June 30 2005",171035,
"Total beef cattle","Wellington","As at June 30 2006",176204,
"Total beef cattle","Wellington","As at June 30 2007",155910,
"Total beef cattle","Wellington","As at June 30 2008",140381,
"Total beef cattle","Wellington","As at June 30 2009",146794,
"Total beef cattle","Wellington","As at June 30 2010",143398,
"Total beef cattle","Wellington","As at June 30 2011",150561,
"Total beef cattle","Wellington","As at June 30 2012",140420,
"Total beef cattle","Wellington","As at June 30 2013",131471,
"Total beef cattle","Wellington","As at June 30 2014",148369,
"Total beef cattle","Wellington","As at June 30 2015",121431,
"Total beef cattle","Wellington","As at June 30 2016",110801,
"Total beef cattle","Wellington","As at June 30 2017",134924,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 1994",57840,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2002",43294,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2003",43000,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2004",45533,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2005",46213,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2006",46383,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2007",41619,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2008",43622,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2009",30976,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2010",33980,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2011",36227,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2012",34114,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2013",33650,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2014",34268,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2015",32025,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2016",31092,
"Calves born alive to beef heifers/cows","Wellington","As at June 30 2017",30845,
"Total dairy cattle","Wellington","As at June 30 1994",83935,
"Total dairy cattle","Wellington","As at June 30 2002",111180,
"Total dairy cattle","Wellington","As at June 30 2003",111973,
"Total dairy cattle","Wellington","As at June 30 2004",95021,
"Total dairy cattle","Wellington","As at June 30 2005",95274,
"Total dairy cattle","Wellington","As at June 30 2006",103290,
"Total dairy cattle","Wellington","As at June 30 2007",92787,
"Total dairy cattle","Wellington","As at June 30 2008",103525,
"Total dairy cattle","Wellington","As at June 30 2009",85331,
"Total dairy cattle","Wellington","As at June 30 2010",92375,
"Total dairy cattle","Wellington","As at June 30 2011",114120,
"Total dairy cattle","Wellington","As at June 30 2012",108174,
"Total dairy cattle","Wellington","As at June 30 2013",108647,
"Total dairy cattle","Wellington","As at June 30 2014",97599,
"Total dairy cattle","Wellington","As at June 30 2015",109992,
"Total dairy cattle","Wellington","As at June 30 2016",110543,
"Total dairy cattle","Wellington","As at June 30 2017",96804,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 1994",52543,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2002",64094,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2003",72334,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2004",65915,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2005",64200,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2006",67049,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2007",60889,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2008",67070,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2009",52557,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2010",56844,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2011",64652,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2012",66278,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2013",74863,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2014",69256,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2015",64100,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2016",80435,
"Calves born alive to dairy heifers/cows","Wellington","As at June 30 2017",67810,
"Total sheep","Wellington","As at June 30 1994",2199545,
"Total sheep","Wellington","As at June 30 2002",1812531,
"Total sheep","Wellington","As at June 30 2003",1779872,
"Total sheep","Wellington","As at June 30 2004",1943427,
"Total sheep","Wellington","As at June 30 2005",2038979,
"Total sheep","Wellington","As at June 30 2006",2012471,
"Total sheep","Wellington","As at June 30 2007",1822057,
"Total sheep","Wellington","As at June 30 2008",1779247,
"Total sheep","Wellington","As at June 30 2009",1659327,
"Total sheep","Wellington","As at June 30 2010",1633879,
"Total sheep","Wellington","As at June 30 2011",1645127,
"Total sheep","Wellington","As at June 30 2012",1664892,
"Total sheep","Wellington","As at June 30 2013",1572985,
"Total sheep","Wellington","As at June 30 2014",1559548,
"Total sheep","Wellington","As at June 30 2015",1420470,
"Total sheep","Wellington","As at June 30 2016",1333163,
"Total sheep","Wellington","As at June 30 2017",1512079,
"Total lambs marked and/or tailed","Wellington","As at June 30 1994",1547683,
"Total lambs marked and/or tailed","Wellington","As at June 30 2002",1370766,
"Total lambs marked and/or tailed","Wellington","As at June 30 2003",1544808,
"Total lambs marked and/or tailed","Wellington","As at June 30 2004",1473602,
"Total lambs marked and/or tailed","Wellington","As at June 30 2005",1636977,
"Total lambs marked and/or tailed","Wellington","As at June 30 2006",1733953,
"Total lambs marked and/or tailed","Wellington","As at June 30 2007",1575160,
"Total lambs marked and/or tailed","Wellington","As at June 30 2008",1480331,
"Total lambs marked and/or tailed","Wellington","As at June 30 2009",1312699,
"Total lambs marked and/or tailed","Wellington","As at June 30 2010",1378476,
"Total lambs marked and/or tailed","Wellington","As at June 30 2011",1375645,
"Total lambs marked and/or tailed","Wellington","As at June 30 2012",1299260,
"Total lambs marked and/or tailed","Wellington","As at June 30 2013",1322262,
"Total lambs marked and/or tailed","Wellington","As at June 30 2014",1147463,
"Total lambs marked and/or tailed","Wellington","As at June 30 2015",1279055,
"Total lambs marked and/or tailed","Wellington","As at June 30 2016",1228220,
"Total lambs marked and/or tailed","Wellington","As at June 30 2017",1264507,
"Total deer","Wellington","As at June 30 1994",30232,
"Total deer","Wellington","As at June 30 2002",27423,
"Total deer","Wellington","As at June 30 2003",25821,
"Total deer","Wellington","As at June 30 2004",25802,
"Total deer","Wellington","As at June 30 2006",22722,
"Total deer","Wellington","As at June 30 2007",15985,
"Total deer","Wellington","As at June 30 2008",16871,
"Total deer","Wellington","As at June 30 2009",16062,
"Total deer","Wellington","As at June 30 2010",18819,
"Total deer","Wellington","As at June 30 2011",17367,
"Total deer","Wellington","As at June 30 2012",13933,
"Total deer","Wellington","As at June 30 2013",17936,
"Total deer","Wellington","As at June 30 2014",20727,
"Total deer","Wellington","As at June 30 2015",20255,
"Total deer","Wellington","As at June 30 2016",17772,
"Total deer","Wellington","As at June 30 2017",10637,
"Fawns weaned","Wellington","As at June 30 1994",8723,
"Fawns weaned","Wellington","As at June 30 2002",9676,
"Fawns weaned","Wellington","As at June 30 2003",10590,
"Fawns weaned","Wellington","As at June 30 2004",9207,
"Fawns weaned","Wellington","As at June 30 2006",8937,
"Fawns weaned","Wellington","As at June 30 2007",6061,
"Fawns weaned","Wellington","As at June 30 2008",6611,
"Fawns weaned","Wellington","As at June 30 2009",6147,
"Fawns weaned","Wellington","As at June 30 2010",7328,
"Fawns weaned","Wellington","As at June 30 2011",6842,
"Fawns weaned","Wellington","As at June 30 2012",4996,
"Fawns weaned","Wellington","As at June 30 2013",6935,
"Fawns weaned","Wellington","As at June 30 2014",7979,
"Fawns weaned","Wellington","As at June 30 2015",7935,
"Fawns weaned","Wellington","As at June 30 2016",6464,
"Fawns weaned","Wellington","As at June 30 2017",3639,
"Total pigs","Wellington","As at June 30 1994",20390,
"Total pigs","Wellington","As at June 30 2002",18408,
"Total pigs","Wellington","As at June 30 2003",19550,
"Total pigs","Wellington","As at June 30 2009",18649,
"Total pigs","Wellington","As at June 30 2011",14191,
"Total pigs","Wellington","As at June 30 2012",14039,
"Total pigs","Wellington","As at June 30 2013",,c
"Total pigs","Wellington","As at June 30 2014",11280,
"Total pigs","Wellington","As at June 30 2015",14190,
"Total pigs","Wellington","As at June 30 2016",11062,
"Total pigs","Wellington","As at June 30 2017",7362,
"Piglets weaned","Wellington","As at June 30 2003",30674,
"Piglets weaned","Wellington","As at June 30 2009",33673,
"Piglets weaned","Wellington","As at June 30 2011",24724,
"Piglets weaned","Wellington","As at June 30 2012",38331,
"Piglets weaned","Wellington","As at June 30 2013",36917,
"Piglets weaned","Wellington","As at June 30 2014",36079,
"Piglets weaned","Wellington","As at June 30 2015",30728,
"Piglets weaned","Wellington","As at June 30 2016",22248,
"Piglets weaned","Wellington","As at June 30 2017",11283,
"Total horses","Wellington","As at June 30 1994",2708,
"Total horses","Wellington","As at June 30 2002",2735,
"Total horses","Wellington","As at June 30 2003",4510,
"Total horses","Wellington","As at June 30 2007",2276,
"Total horses","Wellington","As at June 30 2008",1717,
"Total horses","Wellington","As at June 30 2012",2070,
"Total horses","Wellington","As at June 30 2013",1966,
"Total horses","Wellington","As at June 30 2014",2384,
"Total horses","Wellington","As at June 30 2015",1465,
"Total horses","Wellington","As at June 30 2016",2424,
"Total horses","Wellington","As at June 30 2017",1772,
"Total beef cattle","Total South Island","As at June 30 1994",1134325,
"Total beef cattle","Total South Island","As at June 30 2002",1148146,
"Total beef cattle","Total South Island","As at June 30 2003",1225759,
"Total beef cattle","Total South Island","As at June 30 2004",1166359,
"Total beef cattle","Total South Island","As at June 30 2005",1173898,
"Total beef cattle","Total South Island","As at June 30 2006",1180602,
"Total beef cattle","Total South Island","As at June 30 2007",1245423,
"Total beef cattle","Total South Island","As at June 30 2008",1170750,
"Total beef cattle","Total South Island","As at June 30 2009",1204242,
"Total beef cattle","Total South Island","As at June 30 2010",1111269,
"Total beef cattle","Total South Island","As at June 30 2011",1101564,
"Total beef cattle","Total South Island","As at June 30 2012",1074869,
"Total beef cattle","Total South Island","As at June 30 2013",1077358,
"Total beef cattle","Total South Island","As at June 30 2014",1065439,
"Total beef cattle","Total South Island","As at June 30 2015",1023297,
"Total beef cattle","Total South Island","As at June 30 2016",1024240,
"Total beef cattle","Total South Island","As at June 30 2017",1039267,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 1994",302229,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2002",325409,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2003",333891,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2004",313255,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2005",316076,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2006",322121,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2007",335277,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2008",333942,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2009",344024,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2010",317078,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2011",327581,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2012",291724,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2013",284101,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2014",296963,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2015",327293,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2016",301561,
"Calves born alive to beef heifers/cows","Total South Island","As at June 30 2017",291725,
"Total dairy cattle","Total South Island","As at June 30 1994",561446,
"Total dairy cattle","Total South Island","As at June 30 2002",1330060,
"Total dairy cattle","Total South Island","As at June 30 2003",1309021,
"Total dairy cattle","Total South Island","As at June 30 2004",1365281,
"Total dairy cattle","Total South Island","As at June 30 2005",1355468,
"Total dairy cattle","Total South Island","As at June 30 2006",1454875,
"Total dairy cattle","Total South Island","As at June 30 2007",1647934,
"Total dairy cattle","Total South Island","As at June 30 2008",1820883,
"Total dairy cattle","Total South Island","As at June 30 2009",2064292,
"Total dairy cattle","Total South Island","As at June 30 2010",2058433,
"Total dairy cattle","Total South Island","As at June 30 2011",2211889,
"Total dairy cattle","Total South Island","As at June 30 2012",2487765,
"Total dairy cattle","Total South Island","As at June 30 2013",2571597,
"Total dairy cattle","Total South Island","As at June 30 2014",2719498,
"Total dairy cattle","Total South Island","As at June 30 2015",2665841,
"Total dairy cattle","Total South Island","As at June 30 2016",2561452,
"Total dairy cattle","Total South Island","As at June 30 2017",2573529,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 1994",337346,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2002",741208,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2003",710041,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2004",730135,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2005",860029,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2006",878104,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2007",1027505,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2008",1078236,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2009",1171604,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2010",1198777,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2011",1321159,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2012",1385555,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2013",1340810,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2014",1463854,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2015",1517799,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2016",1749647,
"Calves born alive to dairy heifers/cows","Total South Island","As at June 30 2017",1828073,
"Total sheep","Total South Island","As at June 30 1994",26846103,
"Total sheep","Total South Island","As at June 30 2002",21131586,
"Total sheep","Total South Island","As at June 30 2003",21142107,
"Total sheep","Total South Island","As at June 30 2004",20536997,
"Total sheep","Total South Island","As at June 30 2005",20848904,
"Total sheep","Total South Island","As at June 30 2006",20541141,
"Total sheep","Total South Island","As at June 30 2007",19918214,
"Total sheep","Total South Island","As at June 30 2008",17099536,
"Total sheep","Total South Island","As at June 30 2009",16305716,
"Total sheep","Total South Island","As at June 30 2010",16533535,
"Total sheep","Total South Island","As at June 30 2011",15671703,
"Total sheep","Total South Island","As at June 30 2012",15995265,
"Total sheep","Total South Island","As at June 30 2013",15828294,
"Total sheep","Total South Island","As at June 30 2014",15440907,
"Total sheep","Total South Island","As at June 30 2015",14609211,
"Total sheep","Total South Island","As at June 30 2016",13890132,
"Total sheep","Total South Island","As at June 30 2017",13907432,
"Total lambs marked and/or tailed","Total South Island","As at June 30 1994",20922610,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2002",17924827,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2003",18207248,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2004",17388651,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2005",17691520,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2006",17960036,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2007",17284636,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2008",16636293,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2009",14834718,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2010",14955267,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2011",12875308,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2012",13734817,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2013",13578493,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2014",13768852,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2015",13270936,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2016",12490641,
"Total lambs marked and/or tailed","Total South Island","As at June 30 2017",12481699,
"Total deer","Total South Island","As at June 30 1994",615821,
"Total deer","Total South Island","As at June 30 2002",1050359,
"Total deer","Total South Island","As at June 30 2003",1084196,
"Total deer","Total South Island","As at June 30 2004",1147160,
"Total deer","Total South Island","As at June 30 2005",1153120,
"Total deer","Total South Island","As at June 30 2006",1096136,
"Total deer","Total South Island","As at June 30 2007",965852,
"Total deer","Total South Island","As at June 30 2008",848161,
"Total deer","Total South Island","As at June 30 2009",793269,
"Total deer","Total South Island","As at June 30 2010",790812,
"Total deer","Total South Island","As at June 30 2011",763600,
"Total deer","Total South Island","As at June 30 2012",740692,
"Total deer","Total South Island","As at June 30 2013",707282,
"Total deer","Total South Island","As at June 30 2014",668265,
"Total deer","Total South Island","As at June 30 2015",616322,
"Total deer","Total South Island","As at June 30 2016",582337,
"Total deer","Total South Island","As at June 30 2017",591608,
"Fawns weaned","Total South Island","As at June 30 1994",188145,
"Fawns weaned","Total South Island","As at June 30 2002",426745,
"Fawns weaned","Total South Island","As at June 30 2003",440779,
"Fawns weaned","Total South Island","As at June 30 2004",465233,
"Fawns weaned","Total South Island","As at June 30 2005",443166,
"Fawns weaned","Total South Island","As at June 30 2006",421207,
"Fawns weaned","Total South Island","As at June 30 2007",382798,
"Fawns weaned","Total South Island","As at June 30 2008",357314,
"Fawns weaned","Total South Island","As at June 30 2009",307390,
"Fawns weaned","Total South Island","As at June 30 2010",312228,
"Fawns weaned","Total South Island","As at June 30 2011",309499,
"Fawns weaned","Total South Island","As at June 30 2012",299268,
"Fawns weaned","Total South Island","As at June 30 2013",280640,
"Fawns weaned","Total South Island","As at June 30 2014",271606,
"Fawns weaned","Total South Island","As at June 30 2015",242575,
"Fawns weaned","Total South Island","As at June 30 2016",232439,
"Fawns weaned","Total South Island","As at June 30 2017",229881,
"Total pigs","Total South Island","As at June 30 1994",211958,
"Total pigs","Total South Island","As at June 30 2002",180866,
"Total pigs","Total South Island","As at June 30 2003",210259,
"Total pigs","Total South Island","As at June 30 2004",219792,
"Total pigs","Total South Island","As at June 30 2005",211986,
"Total pigs","Total South Island","As at June 30 2006",213656,
"Total pigs","Total South Island","As at June 30 2007",230878,
"Total pigs","Total South Island","As at June 30 2008",199795,
"Total pigs","Total South Island","As at June 30 2009",185307,
"Total pigs","Total South Island","As at June 30 2010",194810,
